title,id,org_type,pageLink,logo,name_fa,name_en,name_short,location,post_location,internetAddress,contact,phone,about,expertise,history,manifest,coc,estimationOfMembers,political_orientation,markForEdit,social_telegram,social_facebook,social_youtube,social_x,social_instagram,created_at,updated_at,mark_for_delete,delete_reason,deleted_at,headerBg
شورای-ایرانیان-نروژ,68,ORG,/op/شورای-ایرانیان-نروژ,logos/68.png,شورای ایرانیان نروژ,Norsk Iransk Råd,,NOR,,https://norskiransk.no/,Raad@NorskIransk.no,,,Children are being subjected to torture in Iranian prisons. Several people have been sentenced to death. We need your support to prevent this brutal development.,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-میان,189,ORG,/op/گروه-میان,logos/temporary.png,گروه میان,Miaan,,,,Miaan Group,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جامعه-ی-ایرانیان-در-آلمان,31,ORG,/op/جامعه-ی-ایرانیان-در-آلمان,logos/31.png,جامعه ی ایرانیان در آلمان,The Iranian Community in DE(Iranische Gemeinde in Deutschland e.V.),,"Berlin, Germany",Trautenaustraße 510717 BerlinDEmany,http://iranischegemeinde.org/,info@iranischegemeinde.de,00493023589589,This organization is dedicated to representing and supporting the interests of Iranians living in DEmany.,,"Founding (2010): The website mentions that the Iranian Community in DE(IGD) was founded on November 27, 2010, in the Schöneberg Town Hall as an independent, non-partisan, and secular association.",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مترقیان-برای-دموکراسی-ایرانی,13,ORG,/op/مترقیان-برای-دموکراسی-ایرانی,logos/13.png,مترقیان برای دموکراسی ایرانی,Progressives For Iranian Democracy,,"Austin, Texas, USA.",,,https://pfidusa.org/contact-us,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زنان.زندگی.آزادی.مونیخ,32,ORG,/op/زنان.زندگی.آزادی.مونیخ,logos/32.png,زنان.زندگی.آزادی.مونیخ,"Woman Life Freedom, Munich",,DE,,https://sites.google.com/view/munichfreedom/home?authuser=0,,,"CommunityPromoting measures to create, maintain and strengthen a secular democratic republic in Iran.",Information about the independent freedom rallies for Iran in Munich.,The Women's Life Freedom Munich group was formed in support of the recent Iranian protests in Munich.,,,,,,,,,,https://www.instagram.com/women.life.freedom.munich/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
IranUnchained,187,ORG,/op/IranUnchained,logos/temporary.png,,IranUnchained,,,,Iran Unchained,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminista-Thuringia,163,ORG,/op/Feminista-Thuringia,logos/temporary.png,,Feminista Thuringia,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
آوای-ملت-ایران,218,P_ORG,/op/آوای-ملت-ایران,logos/temporary.png,آوای ملت ایران,,,,,http://www.melatiran.org/,info@melatiran.org,,,,,https://wechange.de/group/iran-liberation-movement/file/4_5834474653686434151pdf/download/4_5834474653686434151.pdf,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمیته-ملی,26,ORG,/op/کمیته-ملی,logos/26.png,کمیته ملی,COMITÉ NATIONAL,,AUS ???* FR??,,https://comitenational.com/,contact@comitenational.com,,,supporting the revolutionary movement,"September 27, 2022 by SIMOURQ asbl",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-همبستگی-با-ایرانیان-بریتیش-کلمبیا,94,ORG,/op/گروه-همبستگی-با-ایرانیان-بریتیش-کلمبیا,logos/temporary.png,گروه همبستگی با ایرانیان بریتیش کلمبیا,Solidarity group with Iranians of British Columbia,,CA,,,solidarityiranvan@gmail.com,,"Solidarity group with Iranians of British Columbia: a bridge between Iran and CanadaBritish Columbia Iranian Solidarity Group, like many similar groups around the world, was formed with the aim of creating a stronger bond between Iranians living in British Columbia and preserving Iranian cultural identity. By holding various cultural, social and political events, these groups try to unite the resident Iranian community and also create a bridge between Iranian culture and Canadian society.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
اتحادیه-ایرانیان-اسپانیا,47,ORG,/op/اتحادیه-ایرانیان-اسپانیا,logos/47.png,اتحادیه ایرانیان اسپانیا,UNION OF IRANIAN SPAIN,,ES,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانادا-برای-دموکراسی-در-ایران,130,ORG,/op/کانادا-برای-دموکراسی-در-ایران,logos/temporary.png,کانادا برای دموکراسی در ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
imhct,193,ORG,/op/imhct,logos/temporary.png,,imhct,,Canada,,https://imhct.ca/,,,"psychiatrists, psychologists",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Ghostsec-انون-یو-کی,180,گوناگون,/op/Ghostsec-انون-یو-کی,logos/temporary.png,Ghostsec انون یو کی,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminists4Jina,152,ORG,/op/Feminists4Jina,logos/temporary.png,,Feminists4Jina,,"Europe, Canada, Us, AUS, Lebonan, UK",,https://feminists4jina.net/,iranfeminists4jina@gmail.com,,,International feminist activities with focus on Iran and WLF movement,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مشروطه-دات-کام,,,/op/مشروطه-دات-کام,,مشروطه دات کام,,,,,https://www.mashrooteh.com/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
"WOMAN,-LIFE,-FREEDOM---ESSEN",57,ORG,"/op/WOMAN,-LIFE,-FREEDOM---ESSEN",logos/57.png,,"WOMAN, LIFE, FREEDOM-  ESSEN",,DE,,https://womanlifefreedom-essen.de/,info@wlf-essen.de,,,"dedicated to the families and loved ones of the innocent victims in Iran. In times like these, it's crucial to show solidarity and support those affected by tragic events.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
فدراسیون-سراسری-پناهندگان-ایرانی-(استکهلم),129,ORG,/op/فدراسیون-سراسری-پناهندگان-ایرانی-(استکهلم),logos/temporary.png,فدراسیون سراسری پناهندگان ایرانی (استکهلم),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-زنان-ایرانی-مونترال,148,ORG,/op/انجمن-زنان-ایرانی-مونترال,logos/temporary.png,انجمن زنان ایرانی مونترال,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
خانه-آزادی-ترکمن,97,ORG,/op/خانه-آزادی-ترکمن,logos/temporary.png,خانه آزادی ترکمن,Turkmen Freedom House,,,,https://turkmenfreedomhouse.com/turkmen-freedom-house/,turkmenfreedomhouse@gmail.com,,Comprehensive organization of Turkmen human rights defenders with the aim of intellectual development and foundation of sustainable democracy in Turkmen society,,,,,,,,,,,,https://www.instagram.com/turkmenfreedomhouse/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-فرهنگی-ایران-ساسکاتون,63,ORG,/op/انجمن-فرهنگی-ایران-ساسکاتون,logos/63.png,انجمن فرهنگی ایران ساسکاتون,Saskatoon Iranian Cultural Association,,CA,,https://sicask.ca/en/home/,,,,"SICA provides services to resident and newcomer Iranians, ranging from pre-arrival readiness to accommodation, educational workshops, regular gatherings, and cultural events. Our goal is to facilitate the integration of newcomers, serve the Iranian community, and promote the Iranian culture and heritage in Canada.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ایران-آکادمی,77,ORG,/op/ایران-آکادمی,logos/77.png,ایران آکادمی,IranAcademia,,NLs,,https://iranacademia.com,contact@iranacademia.education,,,The Institute for Social Sciences and Humanities,,,,,,,,,,https://twitter.com/IranAcademia,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ما-دانشجوی-ایرانی-هستیم,2,ORG,/op/ما-دانشجوی-ایرانی-هستیم,logos/2.png,ما دانشجوی ایرانی هستیم,We Are Iranian Students,,Europe,,https://weareiranianstudents.com/,,,,various,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
zan-zendegi-azadi-collective-BELGIUM,158,ORG,/op/zan-zendegi-azadi-collective-BELGIUM,logos/temporary.png,,zan zendegi azadi collective BELGIUM,,,,https://www.instagram.com/womanlifefreedom.be/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-زنان-کردستان-ایران,133,ORG,/op/سازمان-زنان-کردستان-ایران,logos/temporary.png,سازمان زنان کردستان ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
yarannorthwest,194,ORG,/op/yarannorthwest,logos/temporary.png,,yarannorthwest,,UK,,https://www.yarannorthwest.com/,,,Mental Health Services,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
انجمن-ایرانیان-کوئینزلند,54,ORG,/op/انجمن-ایرانیان-کوئینزلند,logos/54.png,انجمن ایرانیان کوئینزلند,Iranian Society of Queensland,,AUS,,https://www.isqld.org.au/,info@isqld.org.au,,"The Iranian Society of Queensland (ISQLD) is a non-profit organization established in 1989. Its mission is to enhance the lives of the Iranian community in Queensland, AUS through various means, including social care, education, healthcare, and economic empowerment","where we inspire hope, peace, freedom and a sense of belonging for all. We promote healthy and vibrant communities in the sunshine state of Queensland.",established in 1989,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مرکز-فرهنگی-ایران-و-نروژ,52,ORG,/op/مرکز-فرهنگی-ایران-و-نروژ,logos/52.png,مرکز فرهنگی ایران و نروژ,Iranian-Norwegian Cultural Center,,NOR,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Bolandgoo,153,ORG,/op/Bolandgoo,logos/temporary.png,,Bolandgoo,,"Berlin, DEmany",,https://www.instagram.com/bolandg00/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
همبستگی-متحد-استرالیا-برای-ایران,8,ORG,/op/همبستگی-متحد-استرالیا-برای-ایران,logos/8.png,همبستگی متحد استرالیا برای ایران,AUSn United Solidarity for Iran,,AUS,,https://www.ausiran.org/,https://www.ausiran.org/contact/,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Free-Them-Now,87,ORG,/op/Free-Them-Now,logos/87.png,,Free Them Now,,,,https://free-them-now.com/,https://free-them-now.com/contact-us/,+61 421 110 336,"Committee to Free Jailed Workers in Iran, an organization that advocates for the release of imprisoned Iranian workers and political prisoners. about the organization's work, including news articles, reports, and campaign updates. It also includes a list of all the currently imprisoned workers and political prisoners in Iran.",,2005,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-حقوق-زنان-ایران-و-کرد,18,ORG,/op/سازمان-حقوق-زنان-ایران-و-کرد,logos/18.png,سازمان حقوق زنان ایران و کرد,Iranian and Kurdish Women's Rights Organisation,,UK,UK PO Box 75229LONDONE15 9FX,https://ikwro.org.uk/,info@ikwro.org.uk,,The Iranian and Kurdish Women's Rights Organisation (IKWRO) is a leading charity dedicated to protecting and promoting the rights of Middle Eastern and Afghan women and girls living in the UK.,charity which provides advice and support,"IKWRO was founded in 2002 by Diana Nammi, in collaboration with other refugee women from Iran, Iraq, and Kurdistan.",,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminista-Leipzig,162,ORG,/op/Feminista-Leipzig,logos/temporary.png,,Feminista Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
دانشجویان-پیشرو,80,ORG,/op/دانشجویان-پیشرو,logos/80.png,دانشجویان پیشرو,دانشجویان پیشرو,,,,None,,,,An organization independent of the progressive students' government (Established: 02/27/2018),,,,,,,https://t.me/isf_uni_admin,,,https://x.com/daneshjo_pishro,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
آزادی-ایران,42,P_ORG,/op/آزادی-ایران,logos/42.png,آزادی ایران,Iran Freedom,,,,https://iranfreedom.org/en/,actioncenter@iranfreedom.org,,"We are a volunteer-led, global grassroots network echoing and amplifying the voices of the Iranian people working to support change, freedom, equality and fundamental human rights in Iran. Our 40-year movement represents the struggle of Iranian people living in and outside of Iran to create a just and peaceful future.  We believe in the principles outlined in NCRI’s President-elect Maryam Rajavi’s 10-Point Plan for the Future of Iran and that democracy in Iran is the pathway to security and stability in the Middle East.Through our collective action and steadfast commitment to our cause, we continue to grow in numbers and unite the international community behind all those fighting for freedom, democracy and equality in Iran.","Uniting for Freedom, Democracy & Equality​",,,,,,,,,,https://twitter.com/4FreedominIran/,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
پایگاه-شفافیت-ایران,260,پروژه,/op/پایگاه-شفافیت-ایران,logos/temporary.png,پایگاه شفافیت ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
IPAA,196,ORG,/op/IPAA,logos/temporary.png,,IPAA,,US,,https://myipaa.org/,,,psychology support,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
بختک,185,گوناگون,/op/بختک,logos/temporary.png,بختک,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-ایران-پروتست-(مالمو،-لوند،-هلسینگبورگ),115,ORG,/op/گروه-ایران-پروتست-(مالمو،-لوند،-هلسینگبورگ),logos/temporary.png,گروه ایران پروتست (مالمو، لوند، هلسینگبورگ),,,,,https://www.instagram.com/iranprotest_lund/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
WomanLifeFreedom-AUS,169,ORG,/op/WomanLifeFreedom-AUS,logos/temporary.png,,WomanLifeFreedom AUS,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شورای-برگزاری-آکسیون-ها-در-هلند,102,ORG,/op/شورای-برگزاری-آکسیون-ها-در-هلند,logos/temporary.png,شورای برگزاری آکسیون ها در هلند,,,,,https://council-nl.org/,,,"The 'Women, Life, Freedom' Belgium Network is most likely a group or coalition of individuals and organizations in Belgium who are actively supporting the ongoing movement for women's rights, freedom, and equality in Iran. This movement, sparked by the tragic death of Mahsa Amini in September 2022, has resonated globally, and it appears that activists in Belgium have mobilized to show solidarity and contribute to the cause",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کمپین-'یک-قانون-برای-همه'-علیه-شریعت-و-حاکمیت-مذهبی-در-بریتانیا،-ایران-و-در-سراسر-جهان,108,ORG,/op/کمپین-'یک-قانون-برای-همه'-علیه-شریعت-و-حاکمیت-مذهبی-در-بریتانیا،-ایران-و-در-سراسر-جهان,logos/temporary.png,کمپین 'یک قانون برای همه' علیه شریعت و حاکمیت مذهبی در بریتانیا، ایران و در سراسر جهان,"One Law for All' campaign against Sharia and religious rule in Britain, Iran and around the world",,,,,,,"The 'One Law for All' campaign is a global movement that fights against the application of discriminatory religious laws, especially Sharia, and religious sovereignty. The campaign is based on the principle that all people, regardless of gender, religion or background, should have equal rights before the law.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن،-زندگی،-آزادی!-همبستگی-با-ایران-در-کارلسروهه,49,ORG,/op/زن،-زندگی،-آزادی!-همبستگی-با-ایران-در-کارلسروهه,logos/49.png,زن، زندگی، آزادی! همبستگی با ایران در کارلسروهه,"FRAU, LEBEN, FREIHEIT! Solidarität mit Iran in Karlsruhe",,DE,,https://www.facebook.com/events/1236284176923618,,,"FRAU, LEBEN, FREIHEIT! Solidarität mit Iran in Karlsruhe' translates to 'WOMAN, LIFE, FREEDOM! Solidarity with Iran in Karlsruhe.' This phrase represents a powerful slogan and rallying cry associated with the ongoing protests and movement for women's rights and freedom in Iran. In Karlsruhe, it means events, demonstrations, or initiatives organized to show solidarity with the Iranian people fighting against oppression and demanding a more democratic and just society.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
FrauLebenFreiheit.Darmstadt,90,ORG,/op/FrauLebenFreiheit.Darmstadt,logos/90.png,,FrauLebenFreiheit.Darmstadt,,DE,,https://frau-leben-freiheit.com/darmstat/,info@frau-leben-freiheit.com,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
عدالت-علی,174,ORG,/op/عدالت-علی,logos/temporary.png,عدالت علی,,,,,https://t.me/EdaalateAli1400,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-فعالان-علیه-مجازات-اعدام-(-واشنگتن-دی-سی-آمریکا),120,H_ORG,/op/گروه-فعالان-علیه-مجازات-اعدام-(-واشنگتن-دی-سی-آمریکا),logos/temporary.png,گروه فعالان علیه مجازات اعدام ( واشنگتن دی سی آمریکا),,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-آزادی-زندگی,71,ORG,/op/زن-آزادی-زندگی,logos/71.png,زن آزادی زندگی,Woman Life Freedom,,AUS,,https://woman-life-freedom.at/,,,,"THE NON-PROFIT ORGANIZATION “WOMAN LIFE FREEDOM” WAS FOUNDED ON JANUARY 25TH, 2023 IN GRAZ AND AIMS TO",,,,,,,,,,,https://www.instagram.com/woman.life.freedom_AUS/,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
حامیان-مادران-پارک-لاله,151,ORG,/op/حامیان-مادران-پارک-لاله,logos/temporary.png,حامیان مادران پارک لاله,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
مگس-در-بطری,11,ORG,/op/مگس-در-بطری,logos/11.png,مگس در بطری,The Fly Bottle,,,,https://www.theflybottle.org/,https://www.theflybottle.org/about-us/contact-us,,"The Fly-Bottle (theflybottle.org) is a non-profit organization that aims to foster intellectual and cultural exchange among Iranian scholars in the humanities, arts, and social sciences.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
اقدام-برای-حقوق-بشر-e.V.,58,H_ORG,/op/اقدام-برای-حقوق-بشر-e.V.,logos/58.png,اقدام برای حقوق بشر e.V.,Aktion für Menschenrechte e.V.,,DE,"Ritterstraße 21, 24939 Flensburg",https://www.xn--aktion-fr-menschenrechte-2sc.online/,info@action-for-humanity.org,0049-15734347295,Action for Human Rights e.V. is a non-profit organization founded by DEman-Iranians from Flensburg.,"Aktion für Menschenrechte e.V. is a non-profit organization founded by DEman-Iranians from Flensburg.The organization is politically neutral, non-denominational, and free from ideologies. The founding members of Aktion für Menschenrechte e.V. are advocates of freedom and human rights.",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Zan-zendegi-azadi-Köln,166,ORG,/op/Zan-zendegi-azadi-Köln,logos/temporary.png,,Zan zendegi azadi Köln,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-حقوق-بشری-هانا,131,H_ORG,/op/سازمان-حقوق-بشری-هانا,logos/temporary.png,سازمان حقوق بشری هانا,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Collectif-Femme-Vie-Liberté-Montréal,48,ORG,/op/Collectif-Femme-Vie-Liberté-Montréal,logos/48.png,,Collectif Femme Vie Liberté Montréal,,CA,,https://www.facebook.com/profile.php?id=100089700378254,FVLmtl22@gmail.com,,Solidarity group with the struggle of the Iranian people in Montreal.,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
لب-دوختگان,173,ORG,/op/لب-دوختگان,logos/temporary.png,لب دوختگان,,,,,None,,,,,,,,,,,,,,x.com/LabDookhtegan2,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
نجات-ایران-(استرالیا),83,ORG,/op/نجات-ایران-(استرالیا),logos/83.png,نجات ایران (استرالیا),Save Iran (AUS),,,,https://alumni.uwa.edu.au/profiles/mehdi-ghateihttps://www.facebook.com/groups/665340737188850/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-زندگی-آزادی-بن,37,ORG,/op/زن-زندگی-آزادی-بن,logos/37.png,زن زندگی آزادی بن,"FRAUEN, LEBEN, FREIHEIT - BONN",,DE,"Kölnstraße 69, 53111 Bonn, DEmany.",https://www.instagram.com/frauenlebenfreiheit_bonn/,,,,From Bonn and the surrounding area for freedom in Iran!,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
پژوهشگران-ایرانی-برای-آزادی,5,ORG,/op/پژوهشگران-ایرانی-برای-آزادی,logos/5.png,پژوهشگران ایرانی برای آزادی,Iranian Scholars for Liberty,,"Europe, New Zeland, AUS, North America",,https://www.iranianscholarsforliberty.com/home,IranianScholarsforLiberty@gmail.com,,,Various academics,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جمعیت-سوسیال-دمکراسی-برای-ایران,239,P_ORG,/op/جمعیت-سوسیال-دمکراسی-برای-ایران,,جمعیت سوسیال دمکراسی برای ایران,,,,,https://azadivaedalat.com/,info@azadivaedalat.org,,,,,,,,social democrats,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جوانان-در-تبعید,156,ORG,/op/جوانان-در-تبعید,logos/temporary.png,جوانان در تبعید,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
ایران-متحد-آزادی-خواه,,,/op/ایران-متحد-آزادی-خواه,,ایران متحد آزادی خواه,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
Feminista-Bonn,164,ORG,/op/Feminista-Bonn,logos/temporary.png,,Feminista Bonn,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-هانای-روژهه-لات,127,H_ORG,/op/سازمان-هانای-روژهه-لات,logos/temporary.png,سازمان هانای روژهه لات,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
جنبش-فصل-همبستگی,219,P_ORG,/op/جنبش-فصل-همبستگی,,جنبش فصل همبستگی,,,,,https://twitter.com/faslehambastegi?lang=en,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
سازمان-زنان-ایران,17,ORG,/op/سازمان-زنان-ایران,logos/17.png,سازمان زنان ایران,The Women's Organization of Iran,,FR,,https://www.iranianwomenorganization.com/support-us,info@iranianwomenorganization.com,,"The Women's Organization of Iran (WOI), a non-profit organization dedicated to empowering Iranian women and promoting their active participation in all aspects of life.","Encouragement, awareness, and support",,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
mahsaserver,192,ORG,/op/mahsaserver,logos/temporary.png,,mahsaserver,,,,https://www.mahsaserver.com/,,,"MahsaServer provides reliable VPN configurations to users in countries with censored internet. This helps users have free expression, knowledge sharing, and connectivity. MahsaServer collects VPN configurations from various sources, including user contributions. They use the MahsaNG app to dynamically maintain, test, and collect these configurations. MahsaServer prioritizes user privacy through encryption and strict security practices.",,,,,,,,https://t.me/mahsa_net,,,https://x.com/mahsanet,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
گروه-همبستگی-برای-ایران-آزاد--(شلسویگ-هولشتاین),61,ORG,/op/گروه-همبستگی-برای-ایران-آزاد--(شلسویگ-هولشتاین),logos/61.png,گروه همبستگی برای ایران آزاد  (شلسویگ-هولشتاین),Solidaritätsgruppe für einen freien Iran S-H,,DE,,https://www.instagram.com/zhina_ye_iran/,,,The 'Solidarity Group for a Free Iran S-H' (Schleswig-Holstein) is an organization dedicated to advocating for human rights and freedom in Iran. They actively support the Iranian people's struggle for democracy and against the oppressive regime.,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
شبکه-زن،-زندگی،-آزادی-بلژیک,101,ORG,/op/شبکه-زن،-زندگی،-آزادی-بلژیک,logos/temporary.png,شبکه زن، زندگی، آزادی بلژیک,"Women, Life, Freedom Belgium Network",,,,https://www.instagram.com/wlf.belgium/,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
کانون-حقوق-بشر-در-ایران,137,H_ORG,/op/کانون-حقوق-بشر-در-ایران,logos/temporary.png,کانون حقوق بشر در ایران,,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
زن-زندگی-آزادی-ملبورن,64,ORG,/op/زن-زندگی-آزادی-ملبورن,logos/64.png,زن زندگی آزادی ملبورن,"Woman, Life, Freedom - Melbourn",,AUS,,https://www.instagram.com/wlf.mel/,,,,We are an independent group of volunteer activists whose goal is to support the freedom,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
WLF-Melbourne,84,ORG,/op/WLF-Melbourne,logos/84.png,,WLF Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
نهاد-مردمی-the-new-Iran,216,P_ORG,/op/نهاد-مردمی-the-new-Iran,logos/temporary.png,نهاد مردمی the new Iran,,,,,https://www.thenewiran.com/,,,https://www.thenewiran.com/tni2020/staticpage/detail?StaticPageName=Aboutus,,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
اصل۱۹,191,ORG,/op/اصل۱۹,logos/temporary.png,اصل۱۹,ASL19,,,,,,,"ASL19 is an organization that works to advance human rights and civil liberties in Iran. They do this by building innovative solutions to counter censorship, misinformation, and other challenges.",,,,,,,,,,,,,,,,,,"background-image: linear-gradient(120deg, #fdfbfb 0%, #ebedee 100%);"
